filepath,speaker_id,utterance_id,emotion,emotion_raw,intensity,dataset,language,duration,rms_mean,zcr_mean,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,spectral_contrast_mean,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_mean,chroma_std,tempo,pitch_mean,pitch_std,pitch_range,voicing_rate,split
EMOVO\dis-f1-b1.wav,f1,b1,disgust,dis,,EMOVO,it,2.8586666666666667,0.046059366315603256,0.1294652035361842,4138.797646483722,2822.873811539085,6727.641858552632,3460.677943002351,18.247162299660793,-323.77728271484375,78.10711669921875,107.24205780029297,63.68917465209961,-28.261837005615234,37.2354850769043,23.540462493896484,34.538673400878906,-11.678644180297852,20.994722366333008,19.678560256958008,20.544086456298828,-17.07882308959961,16.141738891601562,-7.330348014831543,18.24907684326172,0.9367483258247375,11.890976905822754,-7.631180763244629,12.981979370117188,2.711031675338745,11.07784652709961,5.123342990875244,10.663839340209961,-7.934220314025879,11.306649208068848,0.40119829773902893,0.3243889808654785,160.71428571428572,116.50366604312066,12.0651642536071,50.04640321239091,0.5986842105263158,holdout_test
EMOVO\dis-f1-b2.wav,f1,b2,disgust,dis,,EMOVO,it,2.8586666666666667,0.03872857242822647,0.10174937307098765,4346.9987391287505,2314.435371888513,7887.44212962963,3818.9890953364443,18.32246427605085,-332.6529541015625,72.63868713378906,92.89678192138672,57.46461486816406,-27.404796600341797,24.39019203186035,49.88783264160156,40.457725524902344,-12.398956298828125,24.567590713500977,13.393237113952637,19.859996795654297,-20.91251564025879,17.10373878479004,-0.7044811248779297,14.518739700317383,2.3738369941711426,10.305009841918945,-9.916208267211914,14.525364875793457,-9.910658836364746,11.455001831054688,5.252543926239014,9.219916343688965,-4.364651679992676,8.89466667175293,0.3551110029220581,0.32403963804244995,140.625,129.96961754178403,21.25668057650079,77.2020902749519,0.7654320987654321,holdout_test
EMOVO\dis-f1-b3.wav,f1,b3,disgust,dis,,EMOVO,it,2.3893333333333335,0.03591889888048172,0.08693910256410256,3736.565339198308,2289.275658121657,6926.0817307692305,3785.2570648701753,19.37727816421994,-367.06683349609375,88.53901672363281,113.73868560791016,52.14496994018555,-32.87575912475586,28.334850311279297,17.39176368713379,23.87311553955078,-21.089418411254883,21.941673278808594,22.05428123474121,21.219146728515625,-17.411128997802734,21.396873474121094,-4.4485554695129395,19.458545684814453,3.934915781021118,14.00134563446045,-10.172322273254395,13.613667488098145,-4.277518272399902,20.45884132385254,2.186980724334717,9.781391143798828,-7.765440464019775,11.072731971740723,0.32292595505714417,0.31809931993484497,86.53846153846153,252.28388895923246,268.312751127296,841.4179880392165,0.8910256410256411,holdout_test
EMOVO\dis-f1-d1.wav,f1,d1,disgust,dis,,EMOVO,it,1.992,0.027427036315202713,0.16042153666338582,4924.094174468838,3139.5596713145856,7891.240157480315,3900.5010861105243,16.909702242335932,-356.1338195800781,86.71049499511719,101.23075866699219,73.56893157958984,-24.492162704467773,30.553388595581055,15.607598304748535,33.35933303833008,-20.460901260375977,21.538389205932617,30.48505210876465,17.77265167236328,-11.694798469543457,17.142723083496094,12.595065116882324,13.827606201171875,-2.7654709815979004,11.522892951965332,-7.4900126457214355,11.065604209899902,5.479090690612793,9.59298038482666,9.704933166503906,7.747859477996826,-9.096837043762207,9.443052291870117,0.38922837376594543,0.3048073649406433,117.1875,142.28296491501615,31.801525765484,127.2242031841451,0.4409448818897638,holdout_test
EMOVO\dis-f1-d2.wav,f1,d2,disgust,dis,,EMOVO,it,2.7826666666666666,0.02218708023428917,0.06278301652070063,3469.375366437642,1450.0197682936448,7101.861066878981,4209.944903477413,17.35861420909545,-391.5849914550781,90.27119445800781,124.8919906616211,36.37339401245117,-15.858479499816895,27.727859497070312,24.244413375854492,31.751020431518555,-7.921357154846191,23.245155334472656,14.35135269165039,16.843900680541992,-6.873391151428223,18.01679801940918,7.98792839050293,14.462384223937988,5.020682334899902,9.46994400024414,-12.012885093688965,13.757660865783691,-1.470557689666748,10.660018920898438,3.160853385925293,7.788559913635254,-4.828388690948486,8.519880294799805,0.39391419291496277,0.322125107049942,148.02631578947367,119.31912055696425,22.16723914958912,94.18042171038226,0.8726114649681529,holdout_test
EMOVO\dis-f1-l1.wav,f1,l1,disgust,dis,,EMOVO,it,4.181333333333333,0.04370507225394249,0.0682033104232595,3395.991567140799,1664.6166461940031,6722.854034810127,3829.324901125032,19.271889719230085,-340.28973388671875,97.19856262207031,117.21549987792969,41.82334899902344,-30.467296600341797,37.577789306640625,21.215744018554688,25.712120056152344,-7.122668266296387,23.499404907226562,15.994427680969238,19.99156379699707,-24.44455337524414,19.423948287963867,-7.847585201263428,14.091504096984863,-2.750051259994507,9.914287567138672,-14.342572212219238,13.943747520446777,0.9926615953445435,11.564772605895996,-0.823632538318634,10.490813255310059,-8.722101211547852,10.975836753845215,0.33076024055480957,0.3216739892959595,95.33898305084746,141.4835862329272,22.099192652365925,102.81141209509302,0.7911392405063291,holdout_test
EMOVO\dis-f1-l2.wav,f1,l2,disgust,dis,,EMOVO,it,3.84,0.044108252972364426,0.08005553547597864,3395.9759708399943,2248.729528798909,6126.028692170818,3637.8254261795455,17.811478140603946,-337.8589782714844,77.24378967285156,120.03722381591797,53.72845458984375,-17.89289665222168,28.236129760742188,23.24567413330078,30.86419105529785,1.709707260131836,21.60134506225586,14.363829612731934,20.671236038208008,-17.618066787719727,19.461925506591797,-5.202649116516113,13.848367691040039,-5.417841911315918,10.191746711730957,-10.46878433227539,13.933985710144043,6.119741439819336,12.05270004272461,-2.4165430068969727,8.136945724487305,-11.066645622253418,9.653915405273438,0.3615628480911255,0.3284878730773926,137.1951219512195,111.5467620101138,19.87201248872239,77.13530055291538,0.7259786476868327,holdout_test
EMOVO\dis-f1-l3.wav,f1,l3,disgust,dis,,EMOVO,it,4.437333333333333,0.03244994208216667,0.05640354953778135,4147.055236081023,2439.6011068268867,8650.547628617363,4595.9018369536325,18.024150889258895,-405.8190612792969,141.92745971679688,109.42864227294922,51.884761810302734,-22.27552604675293,39.23524475097656,18.545391082763672,28.058027267456055,-5.97948694229126,19.188085556030273,11.965669631958008,15.785501480102539,-15.281330108642578,23.718795776367188,-1.4540404081344604,15.396994590759277,0.41826331615448,9.746611595153809,-10.465773582458496,16.714149475097656,-0.7034672498703003,10.700507164001465,-0.462007075548172,10.647579193115234,-4.033787727355957,12.515667915344238,0.4337407052516937,0.3523654341697693,104.16666666666667,134.88892785931023,21.640176665779414,105.71757159217492,0.617363344051447,holdout_test
EMOVO\dis-f1-l4.wav,f1,l4,disgust,dis,,EMOVO,it,4.59,0.03602360561490059,0.059932385460805086,3091.1566094924583,1765.1550391507176,5697.000794491525,3640.0616709325686,18.87595023637358,-360.1170349121094,71.37034606933594,111.53877258300781,43.414066314697266,-17.639705657958984,31.556161880493164,24.335527420043945,27.10203742980957,9.041671752929688,18.2887020111084,9.429409980773926,17.311458587646484,-16.54892921447754,17.267440795898438,-4.704914093017578,11.668913841247559,-6.053441047668457,11.231091499328613,-17.10994529724121,14.212361335754395,4.707579612731934,11.207274436950684,-4.713756561279297,8.241195678710938,-10.38260269165039,9.693489074707031,0.3236296474933624,0.330153226852417,208.33333333333334,111.23616420352347,11.022601067879679,56.31692386257572,0.8601694915254238,holdout_test
EMOVO\dis-f1-n1.wav,f1,n1,disgust,dis,,EMOVO,it,3.1573333333333333,0.033156219869852066,0.06546178110328639,3305.7290846165547,1764.3700593492338,6533.670774647887,3995.784389014792,18.56952645489553,-391.2526550292969,93.55751037597656,128.4872283935547,37.340904235839844,-22.876541137695312,34.837711334228516,5.37460994720459,27.29401397705078,-4.22017240524292,26.78388214111328,15.694192886352539,16.469804763793945,-15.133748054504395,22.07876205444336,1.0304285287857056,13.41622257232666,4.059970378875732,14.017169952392578,-11.273447036743164,13.662460327148438,4.7044782638549805,12.6016845703125,1.0096405744552612,10.01698112487793,-13.143383979797363,10.575410842895508,0.32984644174575806,0.3206220269203186,108.17307692307692,121.02234558058429,21.089458105763452,78.18958964089198,0.8215962441314554,holdout_test
