label,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39
0,-288.80057,103.13194,18.177883,8.497245,2.2708454,2.9025164,-1.9069388,-13.444994,-6.0513477,8.500364,1.939857,-6.0033536,-6.794142,-2.9276102,-5.352405,-9.503582,-1.6430204,0.9939747,-3.091781,2.6947172,-4.2277594,-2.7738812,-0.8063481,-3.0181932,-4.5423036,0.5298729,-0.9571905,2.001073,1.1325551,2.828816,2.7446992,2.6686869,3.0758426,-2.7552347,-0.8382913,1.693673,4.646104,3.906827,2.45136,3.9066358
0,-315.51868,118.488174,20.336105,30.642557,-1.6502945,-10.653854,-0.8208579,-13.073958,-8.461837,0.63709027,-4.2185154,1.854487,-13.129925,0.111088775,-1.3384814,-4.1841035,0.6430047,0.7176804,0.44729576,0.14301682,1.5389969,-4.4653263,-4.322284,-0.19336046,-3.0509787,-1.9311465,-2.1413298,-1.5122391,0.3107247,-0.33929312,-1.977678,4.1398487,0.82949406,-0.6061877,1.2486547,1.224106,3.586283,0.1640138,1.3200749,2.1851904
0,-312.77832,88.768166,18.56035,14.786629,7.791299,-3.0087678,-4.082584,-5.9163847,4.759021,-0.97371215,-7.426472,-3.2262332,-1.5520006,-1.1078491,-8.393018,-3.154824,-2.314228,-8.585432,-5.6255383,-3.8169117,-3.5222921,0.94218296,1.3930326,0.28607157,1.5213492,-2.973147,-3.8919027,-4.0347114,-0.57944715,-1.485676,-1.7887318,-1.444835,-0.37290913,-0.8916711,-0.83244795,-2.3077312,-2.0083988,-2.3666809,-3.0557563,-3.0781305
0,-268.40646,102.36938,22.252607,31.790272,-0.33805567,-14.95925,5.3442087,-17.611507,-6.865614,-9.747717,-6.812313,0.4809945,-6.7116103,1.7306805,-2.4357274,-5.924543,-2.151666,1.5984732,-6.8494034,-2.468053,-0.46274647,-3.1386876,-1.5733871,1.1941769,-3.591582,-1.3371058,0.60575306,0.668185,-1.2086506,-1.3558574,0.55903274,0.6733402,1.7902912,-2.1146371,-3.1954763,-0.43634605,3.1855202,2.0227137,-0.025257364,-1.4747549
0,-359.6875,110.69117,25.060913,8.603014,6.508249,4.318943,1.6766708,-2.0344262,-2.2980769,5.8991017,-0.2236483,-3.2199686,-1.0018705,-4.664944,-4.933867,0.2818549,-4.106376,-4.564984,-4.6085467,1.134225,1.9922925,-1.680304,-1.0693254,-2.5341425,0.24673691,1.9471357,2.4887345,4.5588074,2.5285785,5.3341312,4.447877,1.8211678,-0.4929044,1.5329286,-0.15828238,0.17248896,0.9121708,0.019361679,-1.6680837,-2.2100604
0,-291.35602,102.7856,10.738068,29.22703,-17.829418,2.025916,-1.3675385,-18.498108,-2.9115086,-2.7209585,-2.6868353,-0.29654104,-8.391343,-2.404943,-8.765209,1.7113893,3.1246402,6.4339848,1.4599336,-2.2101536,-1.7769629,3.9257886,1.761358,4.33313,5.9480205,1.9598423,0.866628,1.5260477,0.096515775,3.7922044,0.9722491,-3.3546245,0.56792855,1.8229454,-2.19997,-0.8456621,4.4631004,0.11003089,0.68361306,-2.433204
0,-308.66907,108.2112,15.9507265,25.43057,3.9511452,-9.811145,-6.196295,-13.299997,1.5450743,5.997748,-6.192532,3.8181412,-8.721943,0.81005555,-2.7849889,-5.790061,-1.8975943,1.2429549,-5.481171,-1.6811804,-0.38292715,-0.48547843,0.9696539,0.90736955,0.1417074,-0.0646116,-2.9844668,2.6971056,1.6779737,4.3314533,2.026603,-0.886653,0.6696591,-2.674626,1.4902209,2.434338,1.4566557,-0.8703739,1.1836959,1.0706581
0,-354.11325,92.14308,37.687252,12.287744,10.730224,8.315729,-4.703399,-4.8210244,0.16202338,-1.4086744,-3.9831312,-4.009296,-1.185473,-1.9009448,-3.1018405,-3.3112743,-7.7629123,-6.523518,-7.1585307,-2.9998984,-0.7220264,2.3916593,4.216557,2.2827485,0.13562751,-0.83354264,-1.6666596,-2.0248692,-1.20561,0.96664613,1.5481417,0.37262222,1.1865654,1.6422324,-0.6236739,-1.2179092,-3.6054418,-3.6390307,-3.0576262,-1.4376732
0,-326.41196,98.57675,36.78495,31.446156,3.9296906,-12.831757,-6.10467,-15.234772,-0.17232373,1.3758074,-6.4995103,6.2088513,-6.11327,-1.8052512,-3.3392537,-5.936107,-0.56304663,4.4366956,-6.129724,-1.0944068,-3.990826,-0.7710475,1.0879018,0.7387264,0.5419675,0.32217354,-1.0199714,0.14730367,2.1833072,5.2099137,0.16865301,-2.756698,-1.952796,-3.505497,-0.94969994,1.6040887,-0.64155626,-1.4200125,3.2546136,2.246023
0,-291.13477,109.83066,23.108976,10.779066,-6.2733836,-2.3952816,-4.6421113,-4.913636,-3.8499055,-0.732242,-2.1122518,3.0078351,0.4352798,-3.548965,-5.824376,-4.907547,-3.9399056,-4.005552,-5.825844,-1.7632301,-8.235118,0.7111563,0.4459811,-2.864165,-0.4943523,5.651532,1.5667964,7.9331365,8.558764,1.0952977,-1.0659975,0.037028812,1.6572193,2.615947,0.75115865,-0.9127017,1.0701277,-0.6674595,-0.32568985,-1.8655242
